year,state_fips,track_width_yards,injuries,fatalities,property_loss,track_width_yards,start_latitude,start_longitude,track_length_miles,severe
1970.0,53.0,10.0,0.0,0.0,50000.0,10.0,47.8,-117.7,0.1,False
1996.0,37.0,100.0,1.0,0.0,1000000.0,100.0,35.22,-77.58,1.0,True
2019.0,1.0,370.0,0.0,2.0,50000.0,370.0,34.6445,-87.4126,18.46,True
2002.0,20.0,100.0,0.0,0.0,30000.0,100.0,39.32,-95.2,0.2,False
2015.0,19.0,300.0,0.0,0.0,200000.0,300.0,41.1807,-94.5778,4.97,False
1980.0,38.0,10.0,0.0,0.0,50000.0,10.0,47.23,-102.33,0.1,False
2005.0,55.0,50.0,0.0,0.0,50000.0,50.0,43.95,-88.37,0.2,False
2010.0,22.0,50.0,0.0,0.0,20000.0,50.0,31.4846,-92.2055,0.38,False
1957.0,40.0,10.0,0.0,0.0,5000.0,10.0,34.87,-99.33,0.1,False
1952.0,42.0,400.0,0.0,0.0,500000.0,400.0,41.6,-80.3,0.5,False
1960.0,5.0,1500.0,0.0,0.0,500000.0,1500.0,34.12,-91.37,2.7,False
2000.0,27.0,10.0,0.0,0.0,50000.0,10.0,44.93,-95.9,0.1,False
1977.0,39.0,50.0,0.0,0.0,500000.0,50.0,41.0,-82.52,0.5,False
2021.0,38.0,40.0,0.0,0.0,50000.0,40.0,47.107,-97.3108,0.4,False
1993.0,31.0,200.0,0.0,0.0,5000000.0,200.0,41.25,-98.82,7.0,False
1956.0,56.0,13.0,0.0,0.0,50000.0,13.0,44.02,-105.78,1.0,False
2011.0,4.0,10.0,0.0,0.0,50000.0,10.0,34.52,-110.08,1.0,False
1996.0,40.0,25.0,0.0,0.0,50000.0,25.0,34.95,-98.28,0.1,False
1974.0,29.0,177.0,2.0,0.0,50000.0,177.0,37.02,-92.43,9.2,True
2009.0,24.0,25.0,2.0,0.0,10000.0,25.0,38.31,-76.0,0.26,True
1990.0,19.0,20.0,0.0,0.0,50.0,20.0,40.68,-95.58,0.1,False
2005.0,16.0,30.0,0.0,0.0,50000.0,30.0,44.17,-112.55,0.5,False
2017.0,17.0,75.0,0.0,0.0,45000.0,75.0,40.3299,-87.6387,0.29,False
1993.0,37.0,30.0,0.0,0.0,500000.0,30.0,35.9,-77.5,5.0,False
1981.0,55.0,50.0,3.0,0.0,500000.0,50.0,42.88,-88.93,28.7,True
2015.0,40.0,1000.0,0.0,0.0,2000000.0,1000.0,35.9727,-95.7615,16.0,False
1989.0,22.0,60.0,60.0,0.0,5000000.0,60.0,30.52,-91.25,9.5,True
1996.0,45.0,50.0,0.0,0.0,50000.0,50.0,33.5,-80.85,0.3,False
1985.0,46.0,10.0,0.0,0.0,50000.0,10.0,44.0,-102.17,0.1,False
1960.0,36.0,150.0,0.0,0.0,50000.0,150.0,42.7,-77.7,0.5,False
1972.0,12.0,10.0,0.0,0.0,500.0,10.0,30.5,-87.28,0.3,False
2003.0,40.0,25.0,0.0,0.0,50000.0,25.0,35.33,-98.53,0.2,False
2019.0,8.0,25.0,0.0,0.0,50000.0,25.0,40.52,-102.06,0.01,False
1971.0,31.0,10.0,0.0,0.0,50000.0,10.0,40.82,-97.92,5.9,False
2000.0,12.0,10.0,0.0,0.0,50000.0,10.0,26.07,-80.25,0.1,False
1991.0,26.0,10.0,0.0,0.0,50000.0,10.0,42.45,-85.63,0.2,False
2019.0,46.0,720.0,0.0,0.0,50000.0,720.0,43.243,-101.97,5.82,False
2008.0,37.0,75.0,0.0,0.0,75000.0,75.0,36.22,-77.12,0.6,False
1999.0,34.0,100.0,1.0,0.0,4200000.0,100.0,39.55,-74.25,0.4,True
2003.0,40.0,75.0,0.0,0.0,50000.0,75.0,34.88,-94.47,2.5,False
2019.0,13.0,100.0,0.0,0.0,50000.0,100.0,33.5354,-82.2159,1.52,False
1977.0,22.0,50.0,0.0,0.0,50000.0,50.0,30.22,-92.15,23.1,False
2018.0,19.0,100.0,0.0,0.0,5000.0,100.0,41.8284,-94.1545,2.78,False
2019.0,48.0,20.0,0.0,0.0,50000.0,20.0,29.5465,-96.3659,0.51,False
1978.0,27.0,40.0,0.0,0.0,500.0,40.0,46.63,-94.87,0.1,False
2004.0,17.0,70.0,0.0,0.0,10000.0,70.0,41.55,-89.35,1.0,False
1965.0,47.0,10.0,0.0,0.0,5000.0,10.0,36.12,-86.42,0.1,False
2022.0,13.0,100.0,0.0,0.0,50000.0,100.0,32.197,-82.4034,0.42,False
1988.0,48.0,10.0,0.0,0.0,50000.0,10.0,32.28,-97.77,0.2,False
2014.0,55.0,400.0,0.0,0.0,3500000.0,400.0,43.0123,-90.4216,29.07,False
2010.0,40.0,500.0,10.0,4.0,1935000.0,500.0,35.9977,-94.5655,21.1,True
